,regiao,estado,cidade,drones
2195,Sudeste,SP,Regente Feijó,7
2196,Sudeste,SP,Santa Rosa de Viterbo,3
2197,Sudeste,MG,Igarapé,7
2198,Sul,SC,Massaranduba,5
2199,Nordeste,PE,Itaquitinga,2
2200,Sudeste,MG,Papagaios,3
2201,Centro-Oeste,MT,Poxoréu,1
2202,Nordeste,BA,Marcionílio Souza,1
2203,Sudeste,RJ,Rio das Flores,2
2204,Nordeste,PB,Alagoa Grande,1
2205,Nordeste,AL,Barra de Santo Antônio,1
2206,Nordeste,PI,Queimada Nova,1
2207,Centro-Oeste,GO,Taquaral de Goiás,1
2208,Sudeste,ES,Fundão,1
2209,Sudeste,SP,Joanópolis,3
2210,Sudeste,MG,São Domingos do Prata,3
2211,Centro-Oeste,MS,Água Clara,3
2212,Sul,RS,Mato Leitão,1
2213,Nordeste,PE,Petrolândia,4
2214,Centro-Oeste,MT,Jangada,1
2215,Sul,PR,São Pedro do Ivaí,3
2216,Sudeste,SP,Clementina,2
2217,Nordeste,CE,Milhã,1
2218,Centro-Oeste,MS,Eldorado,2
2219,Sudeste,SP,Canas,1
2220,Sul,RS,Campos Borges,1
2221,Sul,RS,Santo Antônio das Missões,2
2222,Nordeste,PB,Itapororoca,1
2223,Sul,RS,São Luiz Gonzaga,4
2224,Centro-Oeste,MT,Denise,1
2225,Sul,PR,Iporã,2
2226,Centro-Oeste,MT,Porto dos Gaúchos,1
2227,Centro-Oeste,MS,Caracol,1
2228,Centro-Oeste,MS,Aquidauana,10
2229,Sudeste,SP,Taquarivaí,3
2230,Centro-Oeste,GO,Nova Crixás,2
2231,Centro-Oeste,MS,Guia Lopes da Laguna,2
2232,Nordeste,PB,Teixeira,3
2233,Nordeste,SE,Cristinápolis,1
2234,Nordeste,BA,Barra,2
2235,Sudeste,SP,Populina,2
2236,Sul,RS,Salvador das Missões,1
2237,Sudeste,SP,Bofete,3
2238,Sudeste,ES,Santa Leopoldina,3
2239,Sul,RS,Manoel Viana,1
2240,Sudeste,SP,Santópolis do Aguapeí,2
2241,Nordeste,BA,Glória,1
2242,Sul,PR,Agudos do Sul,1
2243,Sudeste,SP,Pirangi,1
2244,Sudeste,MG,Guarda-Mor,4
2245,Sudeste,SP,Teodoro Sampaio,3
2246,Sudeste,MG,Aparecida de Minas,1
2247,Sudeste,SP,Paranapanema,3
2248,Sudeste,ES,Jaguaré,1
2249,Sudeste,SP,Américo de Campos,3
2250,Nordeste,PE,São Joaquim do Monte,1
2251,Sul,PR,Rebouças,2
2252,Nordeste,PB,Soledade,4
2253,Sul,PR,Fênix,1
2254,Sul,PR,Carambeí,4
2255,Sul,PR,Piraí do Sul,5
2256,Nordeste,CE,Granja,5
2257,Sudeste,MG,Urucânia,1
2258,Sudeste,MG,Zelândia,1
2259,Sudeste,MG,Areado,2
2260,Sudeste,MG,Itinga,1
2261,Sudeste,SP,Mineiros do Tietê,1
2262,Sudeste,MG,Vargem Bonita,1
2263,Sudeste,ES,Ibitirama,1
2264,Sudeste,SP,Paulópolis,1
2265,Sul,PR,Barbosa Ferraz,1
2266,Sul,SC,Campo Belo do Sul,2
2267,Sudeste,ES,Atílio Vivácqua,1
2268,Sul,PR,Jussara,3
2269,Nordeste,BA,Dom Basílio,1
2270,Nordeste,PI,Altos,1
2271,Sul,RS,Igrejinha,5
2272,Sul,PR,Mauá da Serra,4
2273,Nordeste,PE,Serrita,1
2274,Sudeste,ES,Presidente Kennedy,1
2275,Nordeste,CE,Missão Velha,1
2276,Sul,RS,Inhacorá,2
2277,Sul,PR,Nova Londrina,1
2278,Sul,PR,Reserva do Iguaçu,1
2279,Nordeste,SE,Laranjeiras,1
2280,Sul,PR,Nova Santa Rosa,4
2281,Centro-Oeste,MT,Itaúba,1
2282,Sudeste,MG,Piranguçu,2
2283,Sul,RS,Coronel Bicaco,1
2284,Nordeste,PE,Surubim,3
2285,Sul,RS,São Marcos,3
2286,Sul,PR,Altônia,3
2287,Sudeste,MG,Tiradentes,4
2288,Sul,PR,Iretama,3
2289,Centro-Oeste,MS,Pedro Gomes,1
2290,Centro-Oeste,GO,Firminópolis,1
2291,Sudeste,SP,Morro Agudo,3
2292,Nordeste,BA,Alcobaça,2
2293,Nordeste,BA,Baixa Grande,1
2294,Sul,PR,Alto Paraná,1
2295,Sul,RS,Espumoso,2
2296,Sul,SC,Forquilhinha,1
2297,Sudeste,MG,Pompéu,4
2298,Sul,PR,Santa Mariana,7
2299,Sul,PR,Mangueirinha,2
2300,Nordeste,SE,Aquidabã,2
2301,Centro-Oeste,MS,Jardim,10
2302,Sudeste,ES,Iconha,1
2303,Sudeste,MG,Várzea da Palma,4
2304,Sudeste,MG,Miraí,8
2305,Sul,PR,Teixeira Soares,2
2306,Nordeste,BA,Amargosa,5
2307,Sudeste,ES,Sooretama,2
2308,Nordeste,PB,Areia,1
2309,Nordeste,BA,Euclides da Cunha,2
2310,Sudeste,SP,Caconde,3
2311,Sul,SC,Pouso Redondo,2
2312,Sul,RS,Pejuçara,2
2313,Sudeste,MG,Virginópolis,1
2314,Sul,RS,Jaguarão,10
2315,Nordeste,PB,Camalaú,2
2316,Nordeste,BA,Itabatan,5
2317,Sul,PR,Cândido de Abreu,1
2318,Norte,PA,Curuá,3
2319,Sudeste,SP,Potim,4
2320,Centro-Oeste,GO,Abadiânia,1
2321,Nordeste,PE,João Alfredo,3
2322,Nordeste,MA,Buriticupu,2
2323,Sudeste,MG,Passa Tempo,3
2324,Sudeste,MG,Itambacuri,3
2325,Norte,RO,Cerejeiras,1
2326,Nordeste,PB,Alagoa Nova,1
2327,Sul,SC,Lindóia do Sul,1
2328,Sudeste,SP,Inúbia Paulista,1
2329,Sul,RS,Nova Santa Rita,4
2330,Norte,TO,Angico,1
2331,Nordeste,AL,Japaratinga,1
2332,Sudeste,MG,Itamonte,5
2333,Nordeste,PE,Ipubi,1
2334,Sul,RS,Coronel Barros,1
2335,Sudeste,MG,Carandaí,2
2336,Sul,PR,Santo Antônio do Sudoeste,2
2337,Nordeste,BA,Ituaçu,1
2338,Sudeste,MG,Recreio,1
2339,Sul,PR,Santa Maria do Oeste,1
2340,Nordeste,BA,Capela do Alto Alegre,2
2341,Nordeste,AL,Joaquim Gomes,1
2342,Sudeste,ES,Santa Teresa,4
2343,Sudeste,MG,Santa Rosa da Serra,1
2344,Sudeste,SP,Água Vermelha,1
2345,Norte,RO,São Miguel do Guaporé,3
2346,Nordeste,BA,Várzea da Roça,1
2347,Nordeste,PI,São João do Arraial,2
2348,Sudeste,MG,Paraisópolis,9
2349,Nordeste,RN,Várzea,1
2350,Sudeste,MG,Rodeiro,2
2351,Sudeste,SP,Caiabu,1
2352,Sul,RS,Pedro Osório,2
2353,Sul,PR,Cantagalo,3
2354,Sudeste,MG,Ipaba,2
2355,Nordeste,PB,Sapé,3
2356,Centro-Oeste,MT,Novo São Joaquim,1
2357,Sudeste,RJ,Conservatória,2
2358,Sudeste,MG,Ibitiúra de Minas,1
2359,Sul,PR,Inácio Martins,1
2360,Sudeste,SP,Pardinho,1
2361,Sul,SC,Luiz Alves,2
2362,Nordeste,CE,Ipueiras,1
2363,Sudeste,SP,Igaratá,5
2364,Nordeste,BA,Catu de Abrantes,3
2365,Sul,SC,Treze de Maio,1
2366,Sudeste,SP,Serra Azul,1
2367,Sudeste,MG,Montezuma,2
2368,Sul,PR,Três Barras do Paraná,3
2369,Norte,PA,São Geraldo do Araguaia,1
2370,Nordeste,PE,Sirinhaém,2
2371,Sudeste,SP,Urupês,3
2372,Sul,PR,Reserva,3
2373,Sudeste,SP,Guará,3
2374,Sul,RS,Capão do Leão,1
2375,Sudeste,SP,Mirandópolis,10
2376,Centro-Oeste,GO,Caldazinha,1
2377,Nordeste,SE,Poço Verde,1
2378,Sul,PR,Contenda,3
2379,Sul,RS,Tavares,3
2380,Sudeste,MG,São José do Alegre,2
2381,Sudeste,SP,Alumínio,4
2382,Sul,PR,Assaí,1
2383,Nordeste,BA,Várzea Nova,1
2384,Sudeste,SP,Lindóia,1
2385,Sudeste,SP,Juquitiba,4
2386,Centro-Oeste,MT,Porto Esperidião,3
2387,Nordeste,BA,Encruzilhada,1
2388,Centro-Oeste,MS,Coronel Sapucaia,1
2389,Sul,SC,Mondaí,2
2390,Nordeste,RN,Almino Afonso,1
2391,Nordeste,BA,Aurelino Leal,1
2392,Sudeste,MG,Divino,1
2393,Sudeste,SP,Lucélia,3
2394,Sul,RS,Morro Reuter,3
2395,Centro-Oeste,MT,Novo Horizonte do Norte,1
2396,Sudeste,ES,Apiacá,2
2397,Sudeste,SP,Poloni,2
2398,Sudeste,MG,Alpinópolis,3
2399,Centro-Oeste,MT,Nova Canaã do Norte,3
2400,Sudeste,SP,Saltinho,3
2401,Nordeste,CE,Santana do Cariri,1
2402,Sudeste,MG,Coronel Xavier Chaves,2
2403,Nordeste,BA,Conceição da Feira,1
2404,Norte,PA,Tracuateua,1
2405,Sudeste,RJ,Barra de São João,2
2406,Centro-Oeste,MS,Angélica,1
2407,Nordeste,BA,Lagoa Real,2
2408,Sul,RS,Dom Feliciano,1
2409,Norte,RO,Ministro Andreazza,1
2410,Sudeste,MG,São João da Mata,1
2411,Nordeste,AL,Poço das Trincheiras,2
2412,Norte,PA,Anajás,1
2413,Nordeste,AL,Santana do Ipanema,7
2414,Sudeste,MG,Nova Porteirinha,1
2415,Sudeste,MG,Joaquim Felício,2
2416,Nordeste,BA,Olindina,1
2417,Norte,PA,Itupiranga,1
2418,Sudeste,MG,Nova União,2
2419,Nordeste,AL,Piranhas,3
2420,Sul,SC,Papanduva,3
2421,Sudeste,SP,Águas da Prata,2
2422,Nordeste,RN,Alexandria,1
2423,Sudeste,SP,Bilac,1
2424,Nordeste,AL,Satuba,1
2425,Centro-Oeste,MS,Vicentina,2
2426,Sul,PR,Assis Chateaubriand,7
2427,Sudeste,SP,Miguelópolis,3
2428,Nordeste,CE,Jati,1
2429,Centro-Oeste,GO,Santo Antônio do Descoberto,2
2430,Nordeste,SE,Feira Nova,2
2431,Sul,SC,Salete,2
2432,Nordeste,BA,Itajuípe,1
2433,Sudeste,MG,Dores do Indaiá,1
2434,Sudeste,MG,Sabinópolis,1
2435,Centro-Oeste,GO,Piracanjuba,2
2436,Nordeste,AL,Paripueira,1
2437,Centro-Oeste,MS,Anaurilândia,3
2438,Sul,PR,Paraíso do Norte,2
2439,Sul,SC,Ibirama,9
2440,Sul,SC,Benedito Novo,1
2441,Nordeste,BA,Sento Sé,2
