,regiao,estado,cidade,drones
2635,Sul,RS,Encruzilhada do Sul,5
2636,Sudeste,ES,Pedro Canário,1
2637,Nordeste,BA,Planaltino,1
2638,Nordeste,BA,Boninal,1
2639,Sudeste,MG,Mar de Espanha,1
2640,Sudeste,MG,Desterro de Entre Rios,2
2641,Nordeste,BA,Retirolândia,1
2642,Sul,RS,Mostardas,2
2643,Sudeste,MG,Itutinga,1
2644,Sudeste,SP,Irapuru,1
2645,Nordeste,PB,Sumé,1
2646,Nordeste,PI,Luís Correia,1
2647,Sul,SC,Monte Castelo,1
2648,Nordeste,PB,Mulungu,1
2649,Nordeste,CE,Cariús,1
2650,Nordeste,PI,Água Branca,4
2651,Sudeste,SP,Getulina,1
2652,Sul,RS,São João do Polêsine,2
2653,Nordeste,CE,Aningás,1
2654,Sul,PR,Mariluz,1
2655,Sul,PR,Nova América da Colina,2
2656,Norte,PA,Santa Isabel do Pará,2
2657,Nordeste,MA,São Pedro da Água Branca,1
2658,Sudeste,SP,Salto Grande,3
2659,Sudeste,SP,Boracéia,1
2660,Centro-Oeste,GO,Nova Glória,1
2661,Centro-Oeste,MS,Jateí,1
2662,Norte,PA,Bom Jesus do Tocantins,1
2663,Sudeste,SP,Zacarias,1
2664,Nordeste,BA,Mundo Novo,1
2665,Sul,PR,Terra Boa,2
2666,Sul,RS,Arroio do Padre,1
2667,Sul,PR,Carbonera,1
2668,Centro-Oeste,MT,Salto do Céu,1
2669,Sul,RS,Presidente Lucena,2
2670,Nordeste,MA,Coroatá,1
2671,Sul,RS,Tabaí,2
2672,Sul,RS,Mariana Pimentel,1
2673,Norte,AM,Benjamin Constant,1
2674,Sul,RS,Barra do Ribeiro,1
2675,Nordeste,PE,Araçoiaba,1
2676,Nordeste,MA,Grajaú,3
2677,Nordeste,PE,Flores,1
2678,Sudeste,RJ,Miracema,5
2679,Sudeste,SP,Sales,1
2680,Sudeste,RJ,Arrozal,1
2681,Nordeste,PI,Guadalupe,1
2682,Sudeste,MG,Mendes Pimentel,2
2683,Nordeste,RN,Bento Fernandes,1
2684,Sul,RS,Trindade do Sul,1
2685,Norte,AM,Carauari,1
2686,Norte,AM,Iranduba,3
2687,Sudeste,MG,Águas Vermelhas,1
2688,Sudeste,SP,Piquete,1
2689,Nordeste,CE,Antônio Diogo,1
2690,Sul,RS,Santo Cristo,2
2691,Sul,PR,Sede Alvorada,1
2692,Sudeste,MG,Baldim,1
2693,Centro-Oeste,GO,Serranópolis,1
2694,Sudeste,RJ,Santo Antônio de Pádua,5
2695,Sudeste,ES,Alto Mutum Preto,1
2696,Sudeste,ES,Mimoso do Sul,2
2697,Sudeste,SP,Paraíso,1
2698,Nordeste,MA,São Mateus do Maranhão,1
2699,Sul,SC,Pedras Grandes,2
2700,Sudeste,MG,Santo Antônio do Itambé,1
2701,Sudeste,MG,Senhora dos Remédios,2
2702,Sudeste,MG,Congonhas do Norte,3
2703,Nordeste,PE,Santa Maria da Boa Vista,2
2704,Sul,RS,Arroio do Sal,3
2705,Sul,PR,Porecatu,2
2706,Nordeste,MA,São João dos Patos,1
2707,Nordeste,CE,Jaguaruana,3
2708,Sudeste,MG,Lontra,1
2709,Sudeste,SP,Roberto,1
2710,Sul,RS,São José do Norte,2
2711,Sudeste,MG,Couto de Magalhães de Minas,1
2712,Centro-Oeste,MT,Apiacás,1
2713,Nordeste,PE,Inajá,3
2714,Sul,RS,Três Arroios,1
2715,Sul,RS,São Nicolau,2
2716,Nordeste,PE,Ilha de Itamaracá,2
2717,Sul,SC,Ascurra,1
2718,Nordeste,BA,Rio do Antônio,2
2719,Sudeste,MG,Pequi,1
2720,Nordeste,RN,Ielmo Marinho,1
2721,Nordeste,CE,Orós,1
2722,Sul,RS,Campina das Missões,1
2723,Sul,PR,Rio Bom,1
2724,Sudeste,ES,Vila Valério,1
2725,Nordeste,BA,Guaratinga,1
2726,Nordeste,BA,Lapão,1
2727,Nordeste,MA,Riachão,1
2728,Centro-Oeste,MT,Serra Nova Dourada,1
2729,Sudeste,MG,Aguanil,1
2730,Centro-Oeste,MT,Feliz Natal,1
2731,Sudeste,ES,Montanha,2
2732,Sudeste,MG,Conquista,1
2733,Nordeste,AL,Penedo,1
2734,Sudeste,RJ,Lídice,2
2735,Sul,SC,São Joaquim,2
2736,Sul,PR,Kaloré,1
2737,Norte,TO,Porto Alegre do Tocantins,1
2738,Sudeste,MG,Passa Vinte,1
2739,Sul,PR,Curiúva,1
2740,Nordeste,BA,Igaporã,2
2741,Nordeste,PI,Monsenhor Gil,1
2742,Nordeste,MA,João Lisboa,1
2743,Sudeste,SP,Nova Europa,3
2744,Nordeste,RN,Caraúbas,3
2745,Nordeste,PB,Pilões,1
2746,Sul,RS,Herval,1
2747,Nordeste,PI,Luzilândia,1
2748,Sudeste,MG,Diogo de Vasconcelos,2
2749,Nordeste,PB,Remígio,1
2750,Sul,SC,Ipira,1
2751,Nordeste,PI,Nossa Senhora de Nazaré,1
2752,Nordeste,PE,Gameleira,1
2753,Nordeste,BA,Nazaré,5
2754,Nordeste,PB,Gado Bravo,1
2755,Nordeste,BA,Andorinha,1
2756,Nordeste,PE,Lagoa do Carro,1
2757,Nordeste,BA,Tabocas do Brejo Velho,1
2758,Sudeste,RJ,Conceição de Jacareí,1
2759,Nordeste,PI,Prata do Piauí,1
2760,Norte,TO,Peixe,1
2761,Sudeste,MG,Astolfo Dutra,1
2762,Nordeste,PE,Tuparetama,1
2763,Sul,PR,Formosa do Oeste,2
2764,Sudeste,SP,Ipiguá,1
2765,Centro-Oeste,MS,Batayporã,1
2766,Centro-Oeste,GO,Sanclerlândia,2
2767,Sudeste,SP,Guzolândia,1
2768,Centro-Oeste,GO,Paranaiguara,1
2769,Sul,RS,Arvorezinha,2
2770,Sudeste,SP,Areiópolis,2
2771,Sudeste,MG,Bom Repouso,1
2772,Sudeste,MG,Silvianópolis,1
2773,Sudeste,MG,Cabo Verde,1
2774,Nordeste,PI,Manoel Emídio,1
2775,Centro-Oeste,MT,Alto Araguaia,3
2776,Sudeste,SP,Borebi,1
2777,Sudeste,MG,Córrego do Bom Jesus,2
2778,Sul,SC,Santa Terezinha do Progresso,1
2779,Sul,SC,Treviso,1
2780,Sudeste,SP,Alfredo Marcondes,1
2781,Norte,RR,Novo Paraíso,1
2782,Nordeste,PE,Jataúba,1
2783,Sudeste,ES,Aghá,1
2784,Nordeste,BA,São Sebastião do Passé,2
2785,Sudeste,SP,Tejupá,1
2786,Nordeste,AL,Murici,1
2787,Nordeste,SE,Salgado,1
2788,Sul,RS,Boa Vista do Sul,1
2789,Sudeste,MG,Coqueiral,1
2790,Sul,PR,Boa Vista da Aparecida,2
2791,Sudeste,SP,Indaiá do Aguapeí,1
2792,Centro-Oeste,MT,Cláudia,2
2793,Sul,RS,Ibiraiaras,1
2794,Sudeste,RJ,Vila Muriqui,2
2795,Nordeste,CE,Milagres,1
2796,Nordeste,PI,São Miguel do Tapuio,1
2797,Nordeste,PE,Lajedo,1
2798,Sul,RS,Nova Alvorada,1
2799,Centro-Oeste,GO,Simolândia,1
2800,Nordeste,BA,Barro Preto,1
2801,Sul,RS,Victor Graeff,1
2802,Sudeste,SP,Indiana,2
2803,Sudeste,MG,Pitangui,1
2804,Nordeste,MA,Araioses,1
2805,Nordeste,CE,Camocim,3
2806,Sudeste,MG,Avaí do Jacinto,1
2807,Sul,PR,Enéas Marques,1
2808,Norte,TO,Colméia,2
2809,Nordeste,PE,Panelas,1
2810,Sudeste,MG,Serrania,2
2811,Centro-Oeste,MT,Acorizal,1
2812,Sudeste,MG,Sericita,1
2813,Nordeste,RN,Campo Redondo,1
2814,Centro-Oeste,GO,Goiandira,1
2815,Centro-Oeste,MS,Itaquiraí,1
2816,Sudeste,MG,Coluna,1
2817,Sudeste,MG,Simão Pereira,1
2818,Sul,SC,Morro Grande,1
2819,Sudeste,MG,São José do Goiabal,1
2820,Norte,AM,Beruri,1
2821,Sul,PR,Sertaneja,1
2822,Centro-Oeste,MS,Antônio João,3
2823,Sudeste,SP,Aramina,6
2824,Sudeste,MG,Rio Espera,1
2825,Norte,PA,Uruará,2
2826,Nordeste,BA,Campo Alegre de Lourdes,2
2827,Nordeste,CE,Penaforte,1
2828,Sul,SC,Armazém,2
2829,Sul,RS,Nova Bréscia,2
2830,Sul,RS,Linha Porto Alegre,1
2831,Sudeste,MG,Monsenhor Paulo,2
2832,Nordeste,PB,Aroeiras,1
2833,Sudeste,SP,Rincão,1
2834,Nordeste,BA,Pindaí,1
2835,Sul,SC,Iomerê,1
2836,Sudeste,SP,Icém,1
2837,Sudeste,MG,Ilicínea,1
2838,Nordeste,PE,Sairé,1
2839,Sudeste,MG,Rio Acima,2
2840,Sul,PR,Lupionópolis,1
2841,Norte,AM,Tapauá,1
2842,Sudeste,SP,Corumbataí,1
2843,Sul,RS,Balneário Pinhal,1
2844,Sudeste,MG,São Sebastião do Rio Verde,1
2845,Sudeste,MG,São Francisco de Sales,1
2846,Sudeste,SP,Lucianópolis,1
2847,Sul,RS,Erval Grande,1
2848,Sudeste,SP,Parapuã,1
2849,Sudeste,MG,Paraguaçu,2
2850,Centro-Oeste,GO,Corumbá de Goiás,1
2851,Norte,RO,Candeias do Jamari,1
2852,Sudeste,MG,Iapu,1
2853,Sudeste,SP,Ibirá,1
2854,Sudeste,SP,Reginópolis,1
2855,Nordeste,BA,Brotas de Macaúbas,1
2856,Sul,PR,Campo do Tenente,2
2857,Sul,RS,São Jerônimo,2
2858,Sul,PR,São Carlos do Ivaí,1
2859,Sudeste,MG,Alagoa,1
2860,Sudeste,MG,Coronel Murta,1
2861,Sudeste,SP,Cosmorama,1
2862,Sudeste,MG,Maripá de Minas,1
2863,Sudeste,MG,Tiros,1
2864,Sul,PR,Santo Antônio do Caiuá,1
2865,Sul,PR,Loanda,2
2866,Nordeste,MA,Carutapera,1
2867,Sudeste,MG,Caraí,1
2868,Nordeste,BA,Ubatã,1
2869,Sudeste,MG,Mercês,1
2870,Nordeste,MA,Pinheiro,2
2871,Centro-Oeste,MT,Rosário Oeste,2
2872,Centro-Oeste,GO,Itaguaru,2
2873,Sul,SC,Bom Retiro,2
2874,Sul,SC,Balneário Arroio do Silva,2
2875,Nordeste,CE,Banabuiú,2
2876,Sudeste,MG,Carbonita,1
2877,Sudeste,SP,Sabino,1
2878,Sudeste,MG,Santana da Vargem,1
2879,Sudeste,SP,Avanhandava,1
2880,Nordeste,CE,Tamboril,1
2881,Nordeste,CE,Croatá,1
2882,Nordeste,BA,Barra do Mendes,2
2883,Sudeste,MG,Malacacheta,3
2884,Nordeste,PE,São Benedito do Sul,1
2885,Nordeste,AL,Estrela de Alagoas,2
2886,Nordeste,BA,Nova Fátima,1
2887,Nordeste,PI,Novo Santo Antônio,1
2888,Nordeste,PB,São Mamede,2
2889,Norte,TO,Augustinópolis,2
2890,Sul,SC,Guarujá do Sul,1
2891,Nordeste,BA,Inhambupe,1
2892,Sul,SC,Tangará,3
2893,Nordeste,PB,Cruz do Espírito Santo,2
2894,Sudeste,SP,Itajobi,1
2895,Sudeste,MG,São Pedro do Avaí,2
2896,Norte,PA,Portel,1
2897,Sudeste,MG,Conceição dos Ouros,1
2898,Nordeste,RN,Martins,1
2899,Sul,RS,Cidreira,4
2900,Sudeste,MG,Ferros,1
2901,Norte,PA,Gurupá,1
2902,Sul,SC,Abelardo Luz,1
2903,Nordeste,BA,Itarantim,1
2904,Sudeste,SP,Santo Antônio do Pinhal,2
2905,Nordeste,BA,Aporá,1
2906,Sudeste,ES,Celina,1
2907,Sul,RS,Selbach,1
2908,Centro-Oeste,GO,Itajá,2
2909,Sudeste,MG,Nepomuceno,4
2910,Norte,RO,Nova Dimensão,1
2911,Sudeste,SP,Mirassolândia,1
2912,Sul,RS,Nicolau Vergueiro,1
2913,Sudeste,SP,Três Fronteiras,1
2914,Nordeste,CE,Horizonte,2
2915,Sul,RS,Progresso,1
2916,Nordeste,MA,Godofredo Viana,1
2917,Nordeste,BA,Cândido Sales,2
2918,Nordeste,BA,Ibiassucê,1
2919,Sul,PR,Douradina,3
2920,Sudeste,RJ,Travessão,1
2921,Nordeste,PE,Tamandaré,1
2922,Nordeste,MA,Arari,1
2923,Centro-Oeste,GO,Rubiataba,1
2924,Norte,TO,Silvanópolis,2
2925,Sudeste,RJ,Santa Isabel do Rio Preto,1
2926,Nordeste,RN,Pedro Avelino,1
2927,Sudeste,SP,Marinópolis,1
2928,Sul,SC,Apiúna,1
2929,Sul,SC,Nova Trento,2
2930,Nordeste,MA,Arame,1
2931,Sul,SC,Faxinal dos Guedes,1
2932,Nordeste,AL,Traipu,1
2933,Centro-Oeste,GO,Bela Vista de Goiás,2
2934,Sudeste,MG,Miradouro,2
2935,Sudeste,SP,Santa Mercedes,1
2936,Nordeste,PI,Santo Antônio dos Milagres,1
2937,Nordeste,PI,Simões,1
2938,Sul,RS,Barão do Triunfo,1
2939,Sul,RS,São Valentim,1
2940,Sul,SC,Macieira,1
2941,Nordeste,CE,Abaiara,1
2942,Sudeste,SP,Marcondésia,1
2943,Sudeste,MG,Soledade de Minas,2
2944,Norte,PA,Dom Eliseu,2
2945,Norte,RO,Alvorada D'Oeste,1
2946,Norte,AM,Maraã,1
2947,Sul,RS,Nova Hartz,1
2948,Sudeste,MG,Centralina,1
2949,Sul,RS,Butiá,2
2950,Norte,PA,Anapu,1
2951,Nordeste,MA,Nova Olinda do Maranhão,2
2952,Sudeste,MG,Brazópolis,3
2953,Sudeste,MG,Peçanha,1
2954,Norte,RO,Vista Alegre do Abunã,1
2955,Nordeste,BA,Canudos,1
2956,Sudeste,MG,Cássia,1
2957,Sudeste,MG,Espinosa,2
2958,Centro-Oeste,GO,São João D'Aliança,1
2959,Nordeste,PE,Fazenda Nova,1
2960,Nordeste,PE,Bom Conselho,1
2961,Nordeste,BA,Água Fria,1
2962,Centro-Oeste,MT,Poconé,2
2963,Sul,RS,Crissiumal,1
2964,Norte,AM,Atalaia do Norte,1
2965,Centro-Oeste,MS,Miranda,2
2966,Sudeste,SP,Iacanga,2
2967,Sudeste,SP,Brejo Alegre,1
2968,Nordeste,BA,Candeal,1
2969,Norte,RR,Mucajaí,1
2970,Nordeste,CE,Pereiro,2
2971,Nordeste,BA,Igrapiúna,1
2972,Nordeste,CE,Forquilha,3
2973,Sul,PR,Siqueira Campos,3
2974,Nordeste,PE,Casinhas,1
2975,Sul,SC,Rancho Queimado,1
2976,Nordeste,SE,Tomar do Geru,1
2977,Sul,RS,Passo Novo,1
2978,Sul,RS,Santa Maria do Herval,1
2979,Sudeste,MG,Umburatiba,1
2980,Norte,PA,Breves,1
2981,Nordeste,CE,Jaguaribara,1
2982,Nordeste,BA,Presidente Tancredo Neves,1
2983,Norte,AP,Tartarugalzinho,1
2984,Nordeste,PE,Tracunhaém,1
2985,Sudeste,MG,Alfredo Vasconcelos,1
2986,Sul,PR,Ribeirão do Pinhal,1
2987,Nordeste,PE,Venturosa,1
2988,Nordeste,PI,Colônia do Gurguéia,1
2989,Sudeste,MG,Piedade de Caratinga,1
2990,Sul,PR,Antonina,2
2991,Norte,AM,Novo Airão,1
2992,Nordeste,RN,Jaçanã,4
2993,Sul,RS,General Câmara,1
2994,Norte,PA,Santa Bárbara do Pará,1
2995,Sudeste,MG,Francisco Sá,2
2996,Sul,SC,Ponte Serrada,1
2997,Nordeste,RN,Espírito Santo,1
2998,Sudeste,ES,São José de Fruteiras,1
2999,Sudeste,SP,São José do Barreiro,2
3000,Sul,SC,Luzerna,1
3001,Sudeste,MG,Ibiraci,2
3002,Nordeste,MA,Anapurus,1
3003,Nordeste,AL,Taquarana,1
3004,Sudeste,MG,Santo Antônio do Grama,1
3005,Nordeste,BA,Itatim,1
3006,Nordeste,MA,Bom Jesus das Selvas,1
3007,Sudeste,RJ,Visconde de Mauá,1
3008,Sudeste,SP,Rubinéia,2
3009,Sudeste,MG,São Pedro do Suaçuí,1
3010,Sudeste,SP,Barão de Antonina,1
3011,Nordeste,MA,Vargem Grande,1
3012,Nordeste,SE,Santo Amaro das Brotas,1
3013,Sudeste,SP,Santa Ernestina,1
3014,Sul,RS,Santo Augusto,1
3015,Norte,AM,Envira,1
3016,Norte,PA,Capitão Poço,1
3017,Nordeste,PI,Castelo do Piauí,1
3018,Sul,RS,Nonoai,1
3019,Centro-Oeste,GO,Damolândia,1
3020,Sudeste,SP,Dourado,1
3021,Nordeste,RN,Senador Georgino Avelino,1
3022,Nordeste,PB,Cuité,1
3023,Sudeste,MG,Santana do Riacho,2
3024,Nordeste,RN,Parazinho,2
3025,Sudeste,MG,Palmital dos Carvalhos,1
3026,Nordeste,BA,São José do Jacuípe,1
3027,Sudeste,MG,Córrego Danta,1
3028,Sudeste,MG,Tupaciguara,1
3029,Sudeste,MG,Guidoval,1
3030,Norte,RR,Normandia,1
3031,Norte,PA,Moju,1
3032,Norte,RO,Seringueiras,1
3033,Nordeste,CE,Guaiúba,1
3034,Norte,TO,Brejinho de Nazaré,1
3035,Sudeste,MG,Santa Rita do Ibitipoca,1
3036,Sudeste,MG,Oratórios,1
3037,Nordeste,MA,Cururupu,1
3038,Nordeste,CE,Macaraú,1
3039,Nordeste,PB,Arara,2
3040,Sudeste,MG,Itaipé,1
3041,Nordeste,RN,Senador Elói de Souza,1
3042,Sudeste,MG,Machacalis,1
3043,Nordeste,RN,Boa Saúde,1
3044,Sudeste,RJ,Trajano de Moraes,1
3045,Nordeste,PI,Porto,1
3046,Sudeste,MG,Rubim,1
3047,Sudeste,MG,Senhora das Dores,1
3048,Sul,PR,Ampére,2
3049,Nordeste,CE,Fortim,1
3050,Nordeste,PB,Juarez Távora,1
3051,Sudeste,MG,Tumiritinga,1
3052,Sudeste,MG,Joaíma,2
3053,Sul,SC,Schroeder,1
3054,Nordeste,PB,Salgado de São Félix,1
3055,Nordeste,PE,Carnaíba,1
3056,Sul,PR,Porto Amazonas,1
3057,Centro-Oeste,GO,Anicuns,1
3058,Sudeste,MG,Boa Vista de Minas,1
3059,Nordeste,PB,Rio Tinto,1
3060,Sudeste,SP,Charqueada,1
3061,Sudeste,RJ,Sapucaia,1
3062,Sudeste,MG,São José da Barra,1
3063,Nordeste,BA,Cocos,1
3064,Sul,SC,Santa Cecília,1
3065,Nordeste,PE,Palmares,3
3066,Sul,SC,Bom Jardim da Serra,1
3067,Sudeste,SP,Lavínia,1
3068,Sudeste,SP,Mendonça,1
3069,Centro-Oeste,GO,São Luiz do Norte,1
3070,Sudeste,MG,Brasilândia de Minas,1
3071,Sudeste,MG,Conceição do Pará,1
3072,Sul,SC,Rio dos Cedros,1
3073,Norte,TO,Conceição do Tocantins,1
3074,Nordeste,PE,Mirandiba,2
3075,Centro-Oeste,MT,Passagem da Conceição,1
3076,Nordeste,CE,Altaneira,1
3077,Sul,SC,Irineópolis,1
3078,Sudeste,MG,Araújos,1
3079,Nordeste,BA,Núcleo Residencial Pilar,1
3080,Nordeste,BA,Itaguaçu da Bahia,2
3081,Nordeste,PI,Conceição do Canindé,1
3082,Nordeste,CE,Mucambo,2
3083,Sudeste,RJ,Japuíba,1
3084,Nordeste,PE,Chã de Alegria,1
3085,Sul,RS,Vale do Sol,2
3086,Nordeste,PB,Monteiro,1
3087,Sudeste,SP,Pedro de Toledo,1
3088,Sul,PR,Santa Margarida,2
3089,Centro-Oeste,MS,Sete Quedas,1
3090,Centro-Oeste,MT,Terra Nova do Norte,1
3091,Sudeste,MG,Bonfim,1
3092,Nordeste,CE,Novo Oriente,1
3093,Sudeste,SP,Quadra,1
3094,Sudeste,SP,São Pedro do Turvo,1
3095,Sudeste,SP,Santa Adélia,1
3096,Sudeste,ES,Água Doce do Norte,1
3097,Sudeste,SP,Oriente,1
3098,Sudeste,MG,Caputira,1
3099,Nordeste,CE,Aiuaba,1
3100,Sul,PR,Ilha dos Valadares,1
3101,Sul,SC,Caxambu do Sul,1
3102,Nordeste,BA,Buritirama,1
3103,Nordeste,BA,Adustina,1
3104,Sudeste,MG,Caldas,1
3105,Sudeste,SP,Bento de Abreu,1
3106,Sul,SC,Matos Costa,1
3107,Nordeste,RN,São Miguel do Gostoso,1
3108,Sudeste,MG,Limeira do Oeste,1
3109,Sudeste,RJ,Quatis,1
3110,Sudeste,MG,Estrela Dalva,1
3111,Sudeste,MG,São José dos Lopes,1
3112,Sudeste,ES,São Roque do Canaã,2
3113,Nordeste,SE,Umbaúba,1
3114,Sudeste,MG,Brasília de Minas,1
3115,Sudeste,SP,Campos Novos Paulista,1
3116,Nordeste,MA,Bom Lugar,1
3117,Sudeste,RJ,Laje do Muriaé,1
3118,Sudeste,MG,Munhoz,1
3119,Nordeste,BA,Roda Velha,1
3120,Sudeste,MG,Resplendor,1
3121,Sul,RS,Nova Palma,1
3122,Sudeste,MG,Resende Costa,1
3123,Sul,RS,Westfalia,1
3124,Nordeste,CE,Quiterianópolis,1
3125,Sudeste,MG,Conceição de Ipanema,1
3126,Nordeste,RN,Coronel Ezequiel,1
3127,Sul,PR,Joaquim Távora,1
3128,Nordeste,SE,Neópolis,1
3129,Sudeste,ES,Vila Pavão,1
3130,Nordeste,CE,Solonópole,1
3131,Sudeste,MG,Santa Bárbara do Tugúrio,1
3132,Sul,RS,Ametista do Sul,1
3133,Sudeste,MG,Passa Quatro,1
3134,Sudeste,MG,São Gonçalo do Pará,1
3135,Sudeste,MG,Augusto de Lima,1
3136,Sudeste,MG,Campina Verde,1
3137,Nordeste,AL,Piaçabuçu,1
3138,Sudeste,ES,Alto Rio Novo,1
3139,Sudeste,MG,Almeida,1
3140,Sul,RS,Morungava,1
3141,Nordeste,CE,Varjota,1
3142,Sul,PR,Nova Aurora,1
3143,Sul,RS,Jaguari,1
3144,Sul,PR,Moreira Sales,1
3145,Nordeste,BA,Umburanas,2
3146,Sudeste,SP,São Francisco Xavier,1
3147,Sudeste,MG,Caparaó,1
